trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
23,0,23,0,5,45.02756283300005,45.02756283300005,0.008975333000307728,[0.4955555555555556],[-0.01],[1],[0],[0],[1.055179124999995],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
24,0,24,0,10,46.10774083300021,46.10774083300021,0.019390499999644817,[0.21555555555555556],[-0.05333333333333334],[1],[0],[0],[0.9429266249999273],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
25,0,25,0,5,47.06028516599963,47.06028516599963,0.008632584000224597,[0.12666666666666668],[0.15333333333333332],[1],[0],[0],[1.222677582999495],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
26,0,26,0,5,48.29629604099955,48.29629604099955,0.00950608299990563,[0.3988888888888889],[0.47555555555555556],[1],[0],[0],[1.787960749999911],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
27,0,27,0,5,50.097236665999844,50.097236665999844,0.009581917000105022,[-0.33666666666666667],[-0.13666666666666666],[1],[0],[0],[1.386554000000615],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
28,0,28,0,5,51.49780879100035,51.49780879100035,0.010560249999798543,[0.36333333333333334],[-0.24222222222222223],[1],[0],[0],[1.552635709000242],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
29,0,29,0,10,53.07114020799963,53.07114020799963,0.01668458299991471,[-0.09666666666666666],[-0.4211111111111111],[1],[0],[0],[1.6302363329996297],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
30,0,30,0,10,54.71925674999966,54.71925674999966,0.01541575000010198,[0.37],[-0.4766666666666667],[1],[0],[0],[3.6152042920002714],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
31,0,31,0,5,58.344710833000136,58.344710833000136,0.008684082999934617,[0.47333333333333333],[0.18222222222222223],[1],[0],[0],[1.3388842080003087],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
32,0,32,0,10,59.70630700000038,59.70630700000038,0.01768141699994885,[0.23333333333333334],[0.4666666666666667],[1],[0],[0],[1.244170999999369],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
33,0,33,0,10,60.96791770799973,60.96791770799973,0.014802833999965515,[-0.23],[0.0022222222222222222],[1],[0],[0],[2.632783625000229],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
34,0,34,0,10,63.619270125000185,63.619270125000185,0.015701667000030284,[0.48777777777777775],[-0.47888888888888886],[1],[0],[0],[1.2650780000003579],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
35,0,35,0,10,64.90297474999988,64.90297474999988,0.015406540999720164,[0.33],[0.08222222222222222],[1],[0],[0],[1.6148033340004986],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
36,0,36,0,5,66.52792429100009,66.52792429100009,0.008825750000141852,[-0.06555555555555556],[-0.005555555555555556],[1],[0],[0],[1.355462916999386],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
37,0,37,0,10,67.90629524999986,67.90629524999986,0.017758375000084925,[-0.2633333333333333],[-0.25555555555555554],[1],[0],[0],[1.0446890410003107],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
38,0,38,0,10,68.9695638330004,68.9695638330004,0.016062791999502224,[0.1688888888888889],[0.17888888888888888],[1],[0],[0],[1.231888417000846],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
39,0,39,0,5,70.21137841600012,70.21137841600012,0.008366458000637067,[0.057777777777777775],[-0.21444444444444444],[1],[0],[0],[1.1388043750002907],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
40,0,40,0,10,71.37304145799953,71.37304145799953,0.017650541999501,[-0.24],[-0.21555555555555556],[1],[0],[0],[1.0617575419992136],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
41,0,41,0,5,72.44490570800008,72.44490570800008,0.008925709000322968,[0.39555555555555555],[-0.0022222222222222222],[1],[0],[0],[1.256079917000534],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
42,0,42,0,10,73.72316950000004,73.72316950000004,0.017074999999749707,[0.45222222222222225],[0.20333333333333334],[1],[0],[0],[1.261108750000858],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
43,0,43,0,5,74.99410833299953,74.99410833299953,0.008757749999858788,[-0.4266666666666667],[0.3011111111111111],[1],[0],[0],[1.5730069999999614],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
44,0,44,0,10,76.58823241600021,76.58823241600021,0.016461791000438097,[0.011111111111111112],[-0.19333333333333333],[1],[0],[0],[1.162898500000665],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
45,0,45,0,5,77.76154258299994,77.76154258299994,0.008900583000468032,[0.5],[0.31666666666666665],[1],[0],[0],[1.4053556249991743],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
46,0,46,0,10,79.18854645800002,79.18854645800002,0.01648479200048314,[-0.1288888888888889],[-0.4722222222222222],[1],[0],[0],[1.3961411669997688],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
47,0,47,0,10,80.60250004099998,80.60250004099998,0.015508666999267007,[-0.1711111111111111],[-0.011111111111111112],[1],[0],[0],[1.0818587080002544],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
